spec_number,visit,pipeline,obs_date_bjd,wavelength_micron,eclipse_depth_ppm,eclipse_depth_error_ppm
9,5,HANSOLO,2460058.997951,4.75208,29.8,27.7
9,5,HANSOLO,2460058.997951,4.78538,29.7,27.0
9,5,HANSOLO,2460058.997951,4.81868,23.700000000000003,23.85
9,5,HANSOLO,2460058.997951,4.85198,47.400000000000006,38.35
9,5,HANSOLO,2460058.997951,4.88528,52.300000000000004,41.55
9,5,HANSOLO,2460058.997951,4.91858,28.6,28.599999999999998
10,5,stark,2460058.997951,3.95363,97.6,16.85
10,5,stark,2460058.997951,3.98671,97.19999999999999,16.95
10,5,stark,2460058.997951,4.01979,89.7,15.45
10,5,stark,2460058.997951,4.05286,80.5,17.0
10,5,stark,2460058.997951,4.08592,82.4,16.5
10,5,stark,2460058.997951,4.11898,116.10000000000001,17.9
10,5,stark,2460058.997951,4.15204,86.7,16.2
10,5,stark,2460058.997951,4.18509,97.4,16.85
10,5,stark,2460058.997951,4.21814,141.0,17.35
10,5,stark,2460058.997951,4.25119,115.8,17.45
10,5,stark,2460058.997951,4.28423,88.2,18.95
10,5,stark,2460058.997951,4.31726,101.5,16.900000000000002
10,5,stark,2460058.997951,4.35029,87.60000000000001,20.5
10,5,stark,2460058.997951,4.38332,99.5,19.0
10,5,stark,2460058.997951,4.41634,107.3,20.550000000000004
10,5,stark,2460058.997951,4.44936,100.6,19.05
10,5,stark,2460058.997951,4.48238,73.2,19.950000000000003
10,5,stark,2460058.997951,4.51539,86.5,22.4
10,5,stark,2460058.997951,4.54839,80.9,21.75
10,5,stark,2460058.997951,4.58139,96.8,22.35
10,5,stark,2460058.997951,4.61439,73.0,23.150000000000002
10,5,stark,2460058.997951,4.64738,96.2,22.9
10,5,stark,2460058.997951,4.68037,112.4,22.250000000000004
10,5,stark,2460058.997951,4.71336,92.2,22.8
10,5,stark,2460058.997951,4.74633,82.4,23.9
10,5,stark,2460058.997951,4.77931,99.39999999999999,24.7
10,5,stark,2460058.997951,4.81228,126.8,24.25
10,5,stark,2460058.997951,4.84525,133.2,24.9
10,5,stark,2460058.997951,4.87821,131.7,24.749999999999996
10,5,stark,2460058.997951,4.9102,73.9,28.650000000000002
